timestamp,alpha,beta,theta,diff
2024-11-08|16:23:44.901,0.2027,-0.0471,0.4322,100.0000
2024-11-08|16:23:45.103,0.2027,-0.0369,0.4578,100.0000
2024-11-08|16:23:45.308,0.2027,-0.0277,0.4849,100.0000
2024-11-08|16:23:45.512,0.2027,-0.0220,0.5143,100.0000
2024-11-08|16:23:45.715,0.2007,-0.0186,0.5474,100.0000
2024-11-08|16:23:45.918,0.2007,-0.0122,0.5844,100.0000
2024-11-08|16:23:46.120,0.2007,0.0029,0.6226,100.0000
2024-11-08|16:23:46.324,0.2007,0.0029,0.6226,100.0000
2024-11-08|16:23:46.526,0.1997,0.0291,0.6544,100.0000
2024-11-08|16:23:46.728,0.1919,0.0629,0.6625,100.0000
2024-11-08|16:23:46.932,0.2426,0.0630,0.5722,100.0000
2024-11-08|16:23:47.132,0.2378,0.0464,0.4096,100.0000
2024-11-08|16:23:47.334,0.2058,0.0232,0.1765,100.0000
2024-11-08|16:23:47.536,0.1683,0.0057,-0.0803,100.0000
2024-11-08|16:23:47.738,0.1683,0.0057,-0.0803,100.0000
2024-11-08|16:23:47.941,0.1466,-0.0012,-0.2270,100.0000
2024-11-08|16:23:48.144,0.0909,-0.0029,-0.2291,100.0000
2024-11-08|16:23:48.349,0.0068,-0.0046,-0.2014,100.0000
2024-11-08|16:23:48.553,0.0068,-0.0143,-0.1809,100.0000
2024-11-08|16:23:48.755,0.0068,-0.0304,-0.1260,100.0000
2024-11-08|16:23:48.958,0.0068,-0.0450,-0.0115,100.0000
2024-11-08|16:23:49.161,0.0068,-0.0450,-0.0115,100.0000
2024-11-08|16:23:49.363,0.0071,-0.0557,0.1276,100.0000
2024-11-08|16:23:49.566,0.0457,-0.0619,0.2619,100.0000
2024-11-08|16:23:49.769,0.1654,-0.0658,0.3793,100.0000
2024-11-08|16:23:49.971,0.3116,-0.0692,0.4769,100.0000
2024-11-08|16:23:50.174,0.4117,-0.0729,0.5528,100.0000
2024-11-08|16:23:50.377,0.4769,-0.0729,0.6294,100.0000
2024-11-08|16:23:50.579,0.4769,-0.0691,0.6294,100.0000
2024-11-08|16:23:50.784,0.5558,-0.0677,0.6888,100.0000
2024-11-08|16:23:50.986,0.6136,-0.0756,0.7371,100.0000
2024-11-08|16:23:51.193,0.6332,-0.0954,0.7775,100.0000
2024-11-08|16:23:51.395,0.6369,-0.0954,0.7775,100.0000
2024-11-08|16:23:51.598,0.6369,-0.1213,0.8085,100.0000
2024-11-08|16:23:51.799,0.6378,-0.1420,0.8279,100.0000
2024-11-08|16:23:52.003,0.6378,-0.1459,0.8384,100.0000
2024-11-08|16:23:52.207,0.6378,-0.1301,0.8437,100.0000
2024-11-08|16:23:52.409,0.6378,-0.1026,0.8447,100.0000
2024-11-08|16:23:52.613,0.6378,-0.0751,0.8378,100.0000
2024-11-08|16:23:52.817,0.6378,-0.0751,0.8378,100.0000
2024-11-08|16:23:53.018,0.6378,-0.0551,0.8206,100.0000
2024-11-08|16:23:53.219,0.6378,-0.0421,0.7911,100.0000
2024-11-08|16:23:53.421,0.6378,-0.0372,0.7756,100.0000
2024-11-08|16:23:53.625,0.6378,-0.0372,0.7474,100.0000
2024-11-08|16:23:53.843,0.6378,-0.0247,0.7068,100.0000
2024-11-08|16:23:54.046,0.6378,-0.0247,0.7068,100.0000
2024-11-08|16:23:54.249,0.6023,-0.0144,0.6577,100.0000
2024-11-08|16:23:54.450,0.5323,0.0012,0.6056,100.0000
2024-11-08|16:23:54.651,0.4793,0.0218,0.5429,100.0000
2024-11-08|16:23:54.853,0.3758,0.0452,0.4572,100.0000
2024-11-08|16:23:55.057,0.3758,0.0452,0.4572,100.0000
2024-11-08|16:23:55.261,0.2486,0.0682,0.3454,100.0000
2024-11-08|16:23:55.462,0.1325,0.0895,0.2302,100.0000
